City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,champerico,70.0,GT,1665343572.0,72.0,14.3,-91.9167,90.14,4.14
1,hilo,20.0,US,1665343572.0,67.0,19.7297,-155.09,87.28,5.01
2,yellowknife,75.0,CA,1665343572.0,87.0,62.456,-114.3525,46.92,15.01
3,kapaa,0.0,US,1665343573.0,67.0,22.0752,-159.319,81.1,1.01
4,bluff,100.0,NZ,1665343573.0,75.0,-46.6,168.3333,50.14,11.27
5,port blair,40.0,IN,1665343573.0,94.0,11.6667,92.75,77.04,2.3
6,gagino,65.0,RU,1665343574.0,76.0,55.2314,45.0339,48.81,9.93
7,kodiak,0.0,US,1665343574.0,43.0,57.79,-152.4072,49.51,16.11
8,carnarvon,0.0,AU,1665343574.0,74.0,-24.8667,113.6333,64.8,21.99
9,ushuaia,40.0,AR,1665343329.0,66.0,-54.8,-68.3,47.86,20.71
10,pevek,100.0,RU,1665343575.0,69.0,69.7008,170.3133,26.11,24.76
11,aklavik,75.0,CA,1665343575.0,87.0,68.2191,-135.0107,35.6,9.22
12,kavieng,98.0,PG,1665343392.0,67.0,-2.5744,150.7967,80.74,13.67
13,portland,0.0,US,1665343469.0,53.0,45.5234,-122.6762,81.46,5.01
14,upernavik,46.0,GL,1665343576.0,70.0,72.7868,-56.1549,16.12,5.46
15,boa vista,75.0,BR,1665343576.0,31.0,2.8197,-60.6733,94.98,8.05
16,puerto ayora,83.0,EC,1665343576.0,83.0,-0.7393,-90.3518,76.96,8.99
17,hithadhoo,100.0,MV,1665343577.0,77.0,-0.6,73.0833,81.36,15.05
18,rabak,0.0,SD,1665343577.0,65.0,13.1809,32.74,79.99,12.46
19,vigeland,54.0,NO,1665343578.0,83.0,58.0844,7.305,55.94,15.12
20,bredasdorp,100.0,ZA,1665343514.0,97.0,-34.5322,20.0403,59.11,7.38
21,avarua,75.0,CK,1665343578.0,73.0,-21.2078,-159.775,75.25,12.66
22,pemangkat,100.0,ID,1665343578.0,88.0,1.1667,108.9667,76.23,6.24
23,adrar,100.0,MR,1665343579.0,19.0,20.5022,-10.0711,95.63,4.21
24,rikitea,5.0,PF,1665343579.0,74.0,-23.1203,-134.9692,70.97,16.35
25,asau,100.0,RO,1665343579.0,85.0,46.4333,26.4,54.52,2.35
26,pavlohrad,100.0,UA,1665343580.0,72.0,48.5167,35.8667,61.59,2.13
27,touros,34.0,BR,1665343580.0,75.0,-5.1989,-35.4608,81.1,16.06
28,butaritari,27.0,KI,1665343581.0,71.0,3.0707,172.7902,81.88,17.16
29,nishihara,40.0,JP,1665343581.0,83.0,26.1842,127.7558,78.08,21.85
30,norman wells,75.0,CA,1665343582.0,76.0,65.282,-126.8329,46.44,5.75
31,albany,81.0,US,1665343582.0,51.0,42.6001,-73.9662,61.39,1.01
32,lata,100.0,PT,1665343582.0,75.0,40.1629,-8.3327,64.92,2.89
33,ponta do sol,81.0,PT,1665343583.0,53.0,32.6667,-17.1,71.01,4.85
34,katsuura,100.0,JP,1665343583.0,94.0,35.1333,140.3,65.19,4.03
35,mataura,100.0,NZ,1665343583.0,83.0,-46.1927,168.8643,45.63,4.25
36,punta arenas,0.0,CL,1665343315.0,50.0,-53.15,-70.9167,53.71,48.34
37,korla,0.0,CN,1665343584.0,25.0,41.7597,86.1469,56.17,4.92
38,vaini,100.0,TO,1665343584.0,94.0,-21.2,-175.2,73.56,11.5
39,kogon,0.0,UZ,1665343585.0,35.0,39.7228,64.5517,57.24,11.5
40,cherskiy,100.0,RU,1665343585.0,92.0,68.75,161.3,19.47,17.22
41,saint-pierre,0.0,RE,1665343585.0,73.0,-21.3393,55.4781,67.91,5.75
42,busselton,100.0,AU,1665343586.0,82.0,-33.65,115.3333,54.79,10.36
43,saskylakh,99.0,RU,1665343586.0,93.0,71.9167,114.0833,4.21,7.05
44,victoria,66.0,HK,1665343313.0,63.0,22.2855,114.1577,74.25,18.99
45,ahipara,100.0,NZ,1665343592.0,77.0,-35.1667,173.1667,57.81,8.52
46,umm lajj,0.0,SA,1665343592.0,64.0,25.0213,37.2685,83.01,11.95
47,farafangana,0.0,MG,1665343592.0,79.0,-22.8167,47.8333,68.9,9.55
48,port alfred,91.0,ZA,1665343593.0,88.0,-33.5906,26.891,64.18,5.57
49,vila franca do campo,25.0,PT,1665343593.0,85.0,37.7167,-25.4333,76.19,6.04
50,puerto leguizamo,82.0,CO,1665343593.0,39.0,-0.1934,-74.7819,94.69,0.4
51,bocaiuva,91.0,BR,1665343594.0,38.0,-17.1078,-43.815,94.71,7.72
52,nsanje,0.0,MW,1665343594.0,50.0,-16.92,35.262,82.56,6.76
53,salalah,99.0,OM,1665343595.0,70.0,17.0151,54.0924,76.37,1.36
54,roald,40.0,NO,1665343595.0,51.0,62.5833,6.1333,58.33,19.57
55,aksu,14.0,CN,1665343595.0,31.0,41.1231,80.2644,58.39,3.85
56,arraial do cabo,71.0,BR,1665343596.0,78.0,-22.9661,-42.0278,78.66,16.11
57,nanortalik,100.0,GL,1665343596.0,94.0,60.1432,-45.2371,38.41,17.0
58,kununurra,91.0,AU,1665343596.0,88.0,-15.7667,128.7333,75.18,2.3
59,rundu,3.0,,1665343597.0,15.0,-17.9333,19.7667,74.95,6.91
60,san cristobal,72.0,VE,1665343597.0,79.0,7.7669,-72.225,75.38,3.33
61,qaanaaq,69.0,GL,1665343587.0,72.0,77.484,-69.3632,9.54,10.27
62,mar del plata,40.0,AR,1665343517.0,67.0,-38.0023,-57.5575,55.42,11.5
63,yeppoon,50.0,AU,1665343497.0,87.0,-23.1333,150.7333,65.98,8.14
64,severo-kurilsk,80.0,RU,1665343598.0,77.0,50.6789,156.125,44.73,17.18
65,tuktoyaktuk,75.0,CA,1665343598.0,93.0,69.4541,-133.0374,37.4,3.44
66,macapa,40.0,BR,1665343598.0,55.0,0.0389,-51.0664,94.98,13.8
67,xining,100.0,CN,1665343599.0,44.0,36.6167,101.7667,37.8,0.85
68,nantucket,2.0,US,1665343571.0,65.0,41.2835,-70.0995,60.85,25.28
69,airai,100.0,TL,1665343599.0,81.0,-8.9266,125.4092,60.82,2.39
70,lebu,0.0,CL,1665343600.0,64.0,-37.6167,-73.65,51.76,24.85
71,ancud,4.0,CL,1665343600.0,63.0,-41.8697,-73.8203,51.1,10.96
72,neustadt,75.0,DE,1665343600.0,79.0,49.7117,12.0872,49.69,0.0
73,provideniya,60.0,RU,1665343601.0,65.0,64.3833,-173.3,31.37,9.17
74,sitka,100.0,US,1665343601.0,100.0,57.0531,-135.33,57.09,18.41
75,paranagua,100.0,BR,1665343601.0,84.0,-25.52,-48.5092,69.03,7.07
76,dhidhdhoo,100.0,MV,1665343602.0,83.0,6.8833,73.1,80.13,13.91
77,karratha,5.0,AU,1665343602.0,62.0,-20.7377,116.8463,72.3,11.23
78,mwene-ditu,89.0,CD,1665343602.0,46.0,-7.0,23.45,72.7,2.26
79,kieta,93.0,PG,1665343603.0,77.0,-6.2167,155.6333,76.3,1.43
80,conceicao do araguaia,53.0,BR,1665343437.0,26.0,-8.2578,-49.2647,99.77,4.59
81,gilgit,0.0,PK,1665343603.0,33.0,35.9221,74.3087,66.6,1.86
82,ayan,100.0,RU,1665343604.0,53.0,56.45,138.1667,33.39,5.39
83,amboasary,0.0,MG,1665343604.0,48.0,-25.0333,46.3833,77.83,1.57
84,georgetown,20.0,MY,1665343604.0,86.0,5.4112,100.3354,79.9,0.0
85,khatanga,32.0,RU,1665343605.0,93.0,71.9667,102.5,0.66,3.53
86,pathein,100.0,MM,1665343605.0,91.0,16.7833,94.7333,75.9,2.86
87,komsomolskiy,79.0,UZ,1665343605.0,50.0,40.4272,71.7189,56.12,6.91
88,bethel,0.0,US,1665343606.0,52.0,41.3712,-73.414,64.35,10.36
89,hermanus,100.0,ZA,1665343606.0,83.0,-34.4187,19.2345,62.8,12.06
90,athabasca,100.0,CA,1665343606.0,33.0,54.7169,-113.2854,66.61,8.48
91,praia da vitoria,75.0,PT,1665343612.0,88.0,38.7333,-27.0667,73.76,13.67
92,jamestown,100.0,US,1665343612.0,40.0,42.097,-79.2353,59.02,10.36
93,kijang,95.0,KR,1665343612.0,78.0,35.2442,129.2139,58.73,11.83
94,sao filipe,15.0,CV,1665343613.0,74.0,14.8961,-24.4956,78.42,11.41
95,mecca,0.0,SA,1665343613.0,54.0,21.4267,39.8261,85.84,3.04
96,hobart,20.0,AU,1665343581.0,86.0,-42.8794,147.3294,44.46,9.22
97,dingzhou,0.0,CN,1665343613.0,31.0,38.5131,114.9956,37.51,6.87
98,dikson,100.0,RU,1665343614.0,95.0,73.5069,80.5464,32.56,19.01
99,canaries,75.0,ES,1665343614.0,73.0,28.0,-15.5,67.96,23.02
100,tilichiki,100.0,RU,1665343614.0,70.0,60.4667,166.1,31.46,4.0
101,fort walton beach,40.0,US,1665343615.0,28.0,30.4058,-86.6188,82.87,11.5
102,chokurdakh,100.0,RU,1665343615.0,93.0,70.6333,147.9167,18.09,11.95
103,muros,100.0,ES,1665343615.0,90.0,42.7762,-9.0603,61.09,9.4
104,clyde river,100.0,CA,1665343616.0,86.0,70.4692,-68.5914,21.43,9.22
105,kampong chhnang,100.0,KH,1665343616.0,97.0,12.1667,104.55,74.34,3.56
106,sarangani,31.0,PH,1665343398.0,69.0,5.4033,125.4636,82.76,3.47
107,rio cuarto,0.0,AR,1665343616.0,12.0,-33.1307,-64.3499,68.67,8.05
108,new norfolk,53.0,AU,1665343617.0,72.0,-42.7826,147.0587,44.1,3.4
109,esperance,100.0,AU,1665343617.0,87.0,-33.8667,121.9,57.31,6.42
110,halchiu,18.0,RO,1665343617.0,94.0,45.7667,25.55,55.45,2.89
111,baruun-urt,0.0,MN,1665343329.0,49.0,46.6806,113.2792,25.56,5.61
112,srednekolymsk,92.0,RU,1665343618.0,73.0,67.45,153.6833,16.75,10.74
113,montepuez,0.0,MZ,1665343618.0,61.0,-13.1256,38.9997,71.37,7.52
114,kattivakkam,100.0,IN,1665343618.0,79.0,13.2167,80.3167,82.49,5.41
115,atuona,4.0,PF,1665343619.0,68.0,-9.8,-139.0333,76.86,18.43
116,saint-philippe,0.0,RE,1665343619.0,76.0,-21.3585,55.7679,67.59,11.92
117,hovd,100.0,MN,1665343619.0,34.0,48.0056,91.6419,37.56,3.4
118,acolla,92.0,PE,1665343620.0,41.0,-11.7319,-75.5463,63.09,11.81
119,guerrero negro,3.0,MX,1665343568.0,65.0,27.9769,-114.0611,76.98,11.5
120,laguna,0.0,US,1665343620.0,50.0,38.421,-121.4238,89.08,4.61
121,coihaique,40.0,CL,1665343620.0,47.0,-45.5752,-72.0662,53.55,6.91
122,arman,38.0,RU,1665343621.0,88.0,59.7,150.1667,22.84,3.65
123,palora,99.0,EC,1665343621.0,58.0,-1.7,-77.9333,82.51,5.5
124,kruisfontein,100.0,ZA,1665343622.0,79.0,-34.0033,24.7314,63.88,1.05
125,ko samui,100.0,TH,1665343373.0,78.0,9.5357,99.9357,81.45,9.46
126,lazaro cardenas,4.0,MX,1665343622.0,64.0,17.9583,-102.2,86.79,5.97
